task_id,strategy,success,predicted_value,target_value,calls,minimum_calls,prompt_tokens,completion_tokens,state_bytes,failure_codes,config_id,efficiency,success_per_1k_prompt_tokens
easy_depth-seed100,json_state,True,944,944,5,5,7001,2288,524,,easy_depth,1.0,0.14283673760891302
easy_depth-seed200,json_state,True,395,395,5,5,7064,3213,512,,easy_depth,1.0,0.14156285390713477
easy_depth-seed300,json_state,True,168,168,5,5,7072,2967,519,,easy_depth,1.0,0.1414027149321267
easy_depth-seed400,json_state,True,157,157,5,5,6998,3106,514,,easy_depth,1.0,0.14289797084881395
connected_distractors-seed0,live_dependency_pruning,True,642,642,7,5,16130,13294,153,value_not_yet_known;value_not_yet_known,connected_distractors,0.7142857142857143,0.06199628022318661
connected_distractors-seed100,live_dependency_pruning,False,,816,2,5,5289,7741,47,thinking_output_budget_exhausted,connected_distractors,2.5,0.0
connected_distractors-seed200,live_dependency_pruning,True,324,324,5,5,11429,6683,93,,connected_distractors,1.0,0.08749671887304226
connected_distractors-seed300,live_dependency_pruning,False,,599,1,5,3495,5852,0,thinking_output_budget_exhausted,connected_distractors,5.0,0.0
connected_distractors-seed400,live_dependency_pruning,True,972,972,5,5,11500,8675,96,,connected_distractors,1.0,0.08695652173913043
deep_depth-seed0,live_dependency_pruning,True,856,856,5,5,6501,6912,145,,deep_depth,1.0,0.15382248884786956
deep_depth-seed100,live_dependency_pruning,True,613,613,5,5,6355,4508,135,,deep_depth,1.0,0.15735641227380015
deep_depth-seed200,live_dependency_pruning,True,882,882,5,5,5645,2789,0,,deep_depth,1.0,0.1771479185119575
deep_depth-seed300,live_dependency_pruning,True,362,362,5,5,6148,4137,144,,deep_depth,1.0,0.16265452179570591
deep_depth-seed400,live_dependency_pruning,True,123,123,5,5,5941,3042,135,,deep_depth,1.0,0.168321831341525
easy_depth-seed0,live_dependency_pruning,True,324,324,5,5,6827,3394,282,,easy_depth,1.0,0.14647722279185588
easy_depth-seed100,live_dependency_pruning,True,944,944,5,5,6726,2647,282,,easy_depth,1.0,0.14867677668748142
easy_depth-seed200,live_dependency_pruning,True,395,395,5,5,6782,3252,282,,easy_depth,1.0,0.14744913005013272
easy_depth-seed300,live_dependency_pruning,True,168,168,5,5,6787,3433,281,,easy_depth,1.0,0.14734050390452336
easy_depth-seed400,live_dependency_pruning,True,157,157,5,5,6712,3092,278,,easy_depth,1.0,0.14898688915375446
connected_distractors-seed0,paper_restatement,True,642,642,5,5,12319,7859,1079,,connected_distractors,1.0,0.08117542008279893
connected_distractors-seed100,paper_restatement,False,,816,4,5,9276,15477,285,value_not_yet_known;value_not_yet_known;thinking_output_budget_exhausted,connected_distractors,1.25,0.0
connected_distractors-seed200,paper_restatement,True,324,324,5,5,12200,7042,1067,,connected_distractors,1.0,0.08196721311475409
connected_distractors-seed300,paper_restatement,True,599,599,5,5,12133,5801,1080,,connected_distractors,1.0,0.08241984669908514
connected_distractors-seed400,paper_restatement,False,,972,3,5,7611,8947,506,thinking_output_budget_exhausted,connected_distractors,1.6666666666666667,0.0
deep_depth-seed0,paper_restatement,True,856,856,5,5,7222,5320,1072,,deep_depth,1.0,0.13846579894765992
deep_depth-seed100,paper_restatement,True,613,613,5,5,7092,4841,1068,,deep_depth,1.0,0.1410039481105471
deep_depth-seed200,paper_restatement,True,882,882,5,5,6517,2480,1069,,deep_depth,1.0,0.15344483658124905
deep_depth-seed300,paper_restatement,True,362,362,6,5,8172,7925,1086,value_not_yet_known,deep_depth,0.8333333333333334,0.12236906510034264
deep_depth-seed400,paper_restatement,True,123,123,5,5,6674,3925,1077,,deep_depth,1.0,0.1498351813005694
easy_depth-seed0,paper_restatement,True,324,324,5,5,8143,3237,1818,,easy_depth,1.0,0.12280486307257768
easy_depth-seed100,paper_restatement,True,944,944,5,5,7971,1881,1809,,easy_depth,1.0,0.12545477355413373
easy_depth-seed200,paper_restatement,True,395,395,5,5,8048,2455,1797,,easy_depth,1.0,0.1242544731610338
easy_depth-seed300,paper_restatement,True,168,168,5,5,8096,2769,1804,,easy_depth,1.0,0.12351778656126482
easy_depth-seed400,paper_restatement,True,157,157,5,5,7986,1939,1799,,easy_depth,1.0,0.12521913348359628
